Fylke;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Østfold;1,6;1,4;2,2;0,3;2;1,7;3,2;3,7;2,1;3,8;1,9;2;3,4;0,4;1,2
Akershus;1,4;1,8;2,2;1,3;3,7;1;-1,3;1,5;1,8;2,1;0,8;1,4;1,7;1,3;1,4
Oslo;0,3;1,2;1,3;0,2;1,5;-0,3;-2,9;0,4;0,6;1,3;0,7;1;;-1,4;0,6
Hedmark;2;0,5;3,9;2;3,8;0,1;-0,1;-0,2;-0,2;3,2;1,6;0,7;6,0;1,7;2
Oppland;1,8;1,5;3;1,8;3,4;1,9;1;1,1;0;-0,4;2,8;1,3;1,5;1,6;1,6
Buskerud;1,4;1,4;3,2;0,1;2,8;1,7;0,1;1,9;1,3;1,1;1,0;1,5;2,4;0,8;0,8
Vestfold;2,1;1,2;4;1,5;2,4;3;1,6;1,9;1,2;1,9;0,8;1,1;2,3;1,8;3,2
Telemark;3,3;3,0;3,7;0,2;3,2;0,7;0,6;0,5;-0,1;0,8;0,4;1,7;3,1;0,3;1
Aust-Agder;1,3;1,7;3,5;-0,8;5,4;2,5;0,2;1,8;1,9;1,6;0,2;1,9;2,1;-0,1;1,9
Vest-Agder;2;2,8;2,9;2,2;4,1;3,1;0,9;-0,8;0,9;2;1,1;2,5;2,7;0,3;0,7
Rogaland;2,7;2,5;2,6;3,5;3,9;1,8;1,4;1;1,9;1,7;2,4;1,5;0,2;-0,4;0,3
Hordaland;1,7;3,2;3,7;3;2,9;1,2;2,1;0,5;1,5;1,6;0,8;1,1;0,6;-0,8;0,1
Sogn og Fjordane;2,6;2,4;2,4;3,1;5,4;2,4;2,7;1,6;1,8;1,3;0,2;3;2,0;2,3;1,3
Møre og Romsdal;2,6;1,0;2,6;1,6;3,1;1,5;1,6;1,8;3;2,7;2,5;2,9;1,9;0,3;1,3
Sør-Trøndelag;3,1;3,2;3,1;5,4;3,8;1,6;0,1;-0,3;1,7;0,8;1,5;2,4;0,6;0,7;1
Nord-Trøndelag;2,1;2,8;1,9;2,2;3,8;-0,1;2;1,1;2,7;0,5;1,0;1,8;2,9;2,4;1
Nordland;0,7;1,8;0,2;1,5;1,8;1,2;0,6;0,8;2,8;1,5;-0,3;1,6;0,4;0,1;1,5
Troms;2,5;4,0;1,3;2,4;0,9;1,4;0,3;1,5;0,9;1;1,5;2,5;2,6;0,8;0,1
Finnmark;2,6;2,9;2,4;1,3;2,7;3,2;3,8;0,6;2,3;;;2,7;3,1;-0,2;-0,2
Heile landet;1,8;2,0;2,6;1,7;3,1;1,3;0,5;1,1;1,5;1,7;1,2;1,7;2,0;0,6;1,1
